movie_name,trailer_video_id,likes,dislikes,views,sentiment_score
Below,EpHqeHF8NM0,28753,5516,8345867,0.11116359999999995
Son of the Bride,vtT2ArPiqyU,6,0,3175,0.23452500000000004
Metropolis (2002 re-issue),vtT2ArPiqyU,6,0,3175,0.23452500000000004
The Emperor's New Clothes,Hjvy8vc39kw,,,895183,0
Human Nature,kya_uqiSQOY,8447,1847,4322283,0.0717528112449799
Shanghai Ghetto,HXU9W41mSb4,28,2,11908,0.093725
Metropolis (2002),ifl-N4RBpVI,698,10,159954,0.2297697674418605
The Salton Sea,nKi70hCRBKA,552,43,386434,0
Bloody Sunday,5Qy6t2Y9S5Y,730,141,917446,-0.08824493243243248
Heaven,n5X-SxRuwVc,84751,25311,14985976,0.0006695390781563112
Personal Velocity,gP2xn3bLW18,14,0,4448,0
Charly,RMDZ8M47j0I,30049,6975,13492008,-0.024695599999999967
Pandora's Box,G4bhBabn-wU,826,111,510639,0.16938695652173913
Storytelling,xT-yfEd8Ais,62332,396,556384,0.3083070000000001
Winged Migration (French Canadian),xT-yfEd8Ais,62332,396,556384,0.3083070000000001
The Piano Teacher,XNCBd2DaSpc,546,149,1493920,0.1506
Savage Messiah,ERX1ImACfvQ,32,3,41001,-0.1377037037037037
The Son's Room,KG7cqnipaD4,45,4,74149,-0.44089999999999996
Notorious C.H.O.,A5nuNumlyxo,66,3,12991,0.6846000000000001
Kaante,9b79NdvFq0g,,,951661,0
The Last Kiss,IJB_Ccoh-Ro,2311,135,3129389,0.26949689737470156
Crush,v4Qv26IWyGU,381294,3070,15229204,0.15242240000000004
My Wife is an Actress,KL6UhWYJvpY,27,3,53815,-0.1531
24 Hour Party People,q2PYyvGFHD8,842,23,416248,0.24939615384615388
Equilibrium,NCEFMY4TWGw,77042,2470,8942474,0.1873727999999998
Nine Queens,M9Les56e22c,131,11,148035,0.252504255319149
The Singles Ward,hrmpvIJiHNY,56,1,49731,-0.03634285714285712
Roger Dodger,2vG6nLW341U,107,12,112735,0.0725
Time Changer,OzdeLDeU9w0,338,80,172219,0.14795064102564098
Dogtown and Z-Boys,BmXeGwbGVCE,,,528748,0.24602763157894736
The Man from Elysian Fields,yq6EOBrbK3Q,189,5,155068,0.2114377192982456
The Kid Stays in the Picture,eE4-BUGvZRo,32,1,16344,0.33352499999999996
Bollywood/Hollywood,eE_zrpIc7KY,73,4,114928,0.56814
Joshua (2002),DvFPKuJzJh4,56,5,34361,0.27869130434782613
Read My Lips,idQKTEigAok,116,10,149988,0.5500181818181819
Evelyn,QZ40WlshNwU,7200,466,6803303,0.192153722334004
Ararat,s7g_joZjRlk,33,7,20526,0.20796666666666666
Nicholas Nickleby,u7lenqzIGwI,319,13,246231,0.30286730769230774
Sex and Lucia,N2JBjQVJ5Qg,435,165,2232188,0.4158037037037037
Spider,Dlf1_vuIR4I,225173,19492,81467542,0.15960959999999977
Late Marriage,Hq2lyuWmjCE,17,5,27350,0.4131
Standing in the Shadows of Motown,--1Rbo3EWhM,96,1,62759,0.321725
Pokemon 4Ever,FVz_Y7lwFJ8,131,9,128279,0.15241126760563373
L'Odyssee d'Alice Tremblay,FVz_Y7lwFJ8,131,9,128279,0.15241126760563373
Apollo 13: The IMAX Experience (IMAX),fKrQFgsHWiM,30,4,49248,-0.13603333333333334
The Dangerous Lives of Altar Boys,kWtJpUCxU4Y,393,18,187314,0.24712299999999995
Harrison's Flowers,ihtZlh0qkd4,69,6,48026,0.40759999999999996
Santa Vs. the Snowman (IMAX),lca5OKlSl6c,55,6,66645,0.21437999999999996
Auto Focus,l15ydlXoHt8,,,81793,0
State Property,JPXDuXIMAPw,219,12,215369,0.1238027027027027
Rivers and Tides,AT3lveJmjY8,464,12,165381,0.4339916666666667
Russian Ark,yGF7vZALBQU,358,14,214572,0.28656000000000004
Last Orders,gVcw6H2MA8E,552,33,153602,0.04897999999999998
Full Frontal,ZY1aeurQ2z4,1786,84,293839,0.1308241999999999
Devdas,ihwimHKNTnI,37505,1054,4794034,0.2134819999999997
Comedian,fIHH5-HVS9o,301021,14550,42767280,0.14896800804828966
Tadpole,ZLSOtVd_87o,46,17,115238,0.0
Sunshine State,qDRutDYfreg,3,3,14392,0
Paid in Full,Y63NfERYsL4,,,434746,0
8 Women,MFWF9dU5Zc0,103379,55872,11507536,0.012913999999999998
Asterix et Obelix: Mission Cleopatra,XlhihCd6qtw,328,22,391808,0.22337352941176472
The Cat's Meow,3kDAh5coCgw,79,16,405667,0.0
13 Conversations About One Thing,H1Lm5Jieg5c,37,0,34258,0.48742
Pinocchio,WihegP3tRHc,1263,210,829667,-0.04289565217391304
The Fast Runner (Atanarjuat),u30kkn3FUHo,168,21,130595,0.20204285714285714
Secretary,AFma24S-Uvw,5742,571,5535909,0.18709518072289152
Mostly Martha,C0t98cS_2Zw,239,9,159263,-0.1389125
ESPN's Ultimate X (IMAX),KJ0JLM7EObA,34,0,17236,0.258
Lovely and Amazing,DYa7_OBEO0U,81,1,86860,0.4362000000000001
Men with Brooms,HFt-5-630Zg,67,8,75258,0.15687857142857142
Enigma,S5CjKEFb-sM,25188,787,11883504,0.29430539999999994
The Adventures of Pluto Nash,BPQQe2fFM3Q,526,262,325447,0.11056483050847456
Italian for Beginners,_IM7T3-Upuk,59,5,67413,0.31055
Igby Goes Down,9fGHX8eW9PU,376,13,173454,0.1609
Extreme Ops,4wIZp_E2CxQ,241723,7529,43744711,0.1618211999999998
Hollywood Ending,uR6eVny0PEs,,,31490,0.602
